3-1,ability,能力,,
3-1,abstract,摘要,,
3-1,accountant,会计,,
3-1,accuracy,准确度,,
3-1,acid,酸,,
3-1,action,行动,,
3-1,activity,活动,,
3-1,actor,男演员,,
3-1,adult,成年人,,
3-1,adventure,冒险,,
3-1,advertisements,广告，宣传,,
3-1,advertising,广告,,
3-1,advice,建议,,
3-1,age,年纪,,
3-1,agency,中介，代理机构,,
3-1,agreement,同意,,
3-1,agriculture,农业,,
3-1,aid,帮助,,
3-1,aim,瞄准，目的,,
3-1,air,空气,,
3-1,allergy,过敏,,
3-1,alley,小巷，道,,
3-1,allowance,津贴,,
3-1,alteration,改变,,
3-1,altitude,海拔，高度,,
3-1,ambition,野心，抱负,,
3-1,ambulance,救护车,,
3-1,amount,数量,,
3-1,analysis,分析,,
3-1,analyst,分析家,,
3-1,anger,愤怒,,
3-1,animal,动物,,
3-1,ankle,足果,,
3-1,answer,回答,,
3-1,Antarctica,南极洲,,
3-1,ape,猿,,
3-1,appearance,外貌,,
3-1,architect,建筑师,,
3-1,architectures,建筑学，建筑物,,
3-1,area,地区，部分,,
3-1,argument,论证,,
3-1,aristocrat,贵族,,
3-1,army,军队,,
3-1,art,艺术,,
3-1,article,文章，用品,,
3-1,aspirin,阿司匹林,,
3-1,assignment,作业,,
3-1,atlas,地图册,,
3-1,audience,观众,,
3-1,auditorium,礼堂,,
3-1,author,作者,,
3-1,authority,权威,,
3-1,average,平均,,
3-1,award,奖励,,
3-1,bachelor,学士,,
3-1,background,背景,,
3-1,bacteria,细菌,,
3-1,badge,徽章,,
3-1,badminton,羽毛球,,
3-1,backpack,自助旅行,,
3-1,baldness,秃头,,
3-1,band,乐队,,
3-1,bandage,绷带,,
3-1,bands,乐队,,
3-1,bank,银行,,
3-1,banquet,宴会,,
3-1,base,基础,,
3-1,basement,地下室,,
3-1,bases,底部，基地,,
3-1,basis,基础,,
3-1,bath,洗澡,,
3-1,batteries,电池,,
3-1,battery,电池,,
3-1,beach,海滩,,
3-1,beard,胡子,,
3-1,beats,跳动的次数,,
3-1,beauty,美女,,
3-1,bed,床,,
3-1,bedroom,卧室,,
3-1,bed sheet,床单,,
3-1,bedsit,小套房,,
3-1,behaviors,行为态度,,
3-1,belt,带子,,
3-1,benefit,优势,,
3-1,beverage,软饮料,,
3-1,bibliography,参考书目,,
3-1,bicycle,自行车,,
3-1,bill,账单,,
3-1,biologist,生物学家,,
3-1,bird,鸟类,,
3-1,birth,出生,,
3-1,blanket,毯子,,
3-1,blast,爆炸,,
3-1,block,街区,,
3-1,blouse,女士衬衫,,
3-1,board,木板，董事会,,
3-1,boarder,住校的学生,,
3-1,boat,船,,
3-1,bone,骨头,,
3-1,bowl,碗,,
3-1,bowling,保龄球,,
3-1,branch,分支，分部,,
3-1,breakfast,早餐,,
3-1,brick,砖,,
3-1,bridge,桥,,
3-1,brochures,小册子,,
3-1,building,建筑物,,
3-1,bungalow,平房,,
3-1,burger,汉堡,,
3-1,burglar,夜盗,,
3-1,bus,公共汽车,,
3-1,cab,出租车,,
3-2,cabinet,橱柜,,
3-2,cable,电缆，有线电视,,
3-2,cafe,咖啡厅,,
3-2,cafeteria,咖啡店,,
3-2,cage,笼子,,
3-2,Cambridge,剑桥,,
3-2,camel,骆驼,,
3-2,camera,相机,,
3-2,camp,露营,,
3-2,campus,校园,,
3-2,candidate,候选人,,
3-2,candle,蜡烛,,
3-2,canteen,食堂,,
3-2,capital,资金，首都,,
3-2,capsule,胶囊,,
3-2,carbon,碳,,
3-2,care,关注，照顾,,
3-2,career,事业,,
3-2,carpet,地毯,,
3-2,carving,雕刻,,
3-2,cashier,出纳员,,
3-2,castle,城堡,,
3-2,category,种类,,
3-2,cathedral,大教堂,,
3-2,cause,起因,,
3-2,cave,洞穴,,
3-2,cents,分,,
3-2,century,世纪,,
3-2,certificate,证书,,
3-2,chair,椅子,,
3-2,chance,机会,,
3-2,chancellor,大学校长,,
3-2,channel,海峡,,
3-2,chapter,章节,,
3-2,character,品质，特性,,
3-2,charge,收费,,
3-2,charity,慈善,,
